                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2902,                  52.65,                 5.0651,                      0,                      0,                      0,                      0,                 6.6451,                 10.122,                 3.3074,                 0.0856,                 0.0016,                 0.0016
                      2,                 3.2803,                 3.1278,                 2.2965,                      0,                      0,                      0,                      0,                 5.8709,                 5.0851,                 2.9304,               0.070267,              0.0032673,              0.0032673
                      3,                 2.7503,                 1.6367,                 1.6644,                      0,                      0,                      0,                      0,                 4.2489,                  4.825,                 24.675,               0.054901,               0.004901,               0.004901
                      4,                 2.5703,                 1.5046,                   1.58,                      0,                      0,                      0,                      0,                 4.7371,                 4.6693,                 9.6139,               0.039501,               0.006501,               0.006501
                      5,                 2.4217,                 1.3897,                 1.4722,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024067,              0.0080674,              0.0080674
                      6,                 2.4182,                 1.4034,                  1.426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009505,               0.009505,               0.009505
                      7,                 2.2612,                 1.2905,                 1.3507,                      0,                      0,                      0,                      0,                 1.4348,                 2.6562,                0.79613,               0.009505,               0.009505,               0.009505
                      8,                 2.2351,                 1.2213,                 1.4013,                      1,                0.00373,                0.50185,                0.25093,                 2.5942,                 6.1025,                  1.497,               0.009406,               0.009406,               0.009406
                      9,                 2.3296,                 1.3656,                 1.4356,                0.59627,                0.23507,                0.20405,                0.07611,                 2.5113,                 5.3378,                 1.5871,               0.009307,               0.009307,               0.009307
                     10,                 2.2025,                 1.2611,                  1.367,                0.73566,                0.79104,                0.78712,                0.27447,                 2.2954,                 1.6206,                  1.499,               0.009208,               0.009208,               0.009208
                     11,                 2.1406,                 1.1761,                 1.3376,                 0.8554,                0.88294,                0.88359,                0.30177,                 2.1602,                  3.582,                 1.3843,               0.009109,               0.009109,               0.009109
                     12,                 2.2584,                 1.2306,                 1.3474,                0.72717,                0.93284,                0.93216,                0.39576,                 1.9197,                 7.4486,                 1.3022,                0.00901,                0.00901,                0.00901
                     13,                 2.0335,                 1.0336,                 1.2743,                0.82047,                0.87313,                0.89734,                0.32343,                 2.1374,                  1.889,                 1.3607,               0.008911,               0.008911,               0.008911
                     14,                 1.9751,                 1.0203,                 1.2506,                0.85579,                0.90789,                0.92972,                 0.4507,                 1.8464,                 1.1477,                 1.2232,               0.008812,               0.008812,               0.008812
                     15,                 1.9693,                 1.0312,                 1.2136,                0.95378,                0.91418,                0.95871,                0.42639,                 1.8747,                0.94071,                 1.2342,               0.008713,               0.008713,               0.008713
                     16,                 2.0052,                 1.0735,                  1.237,                0.80713,                0.85075,                 0.8897,                0.40086,                 1.7616,                 3.0935,                 1.2146,               0.008614,               0.008614,               0.008614
                     17,                 1.8778,                 1.0752,                 1.2156,                0.93324,                0.85821,                0.92802,                0.43661,                 1.7711,                 3.5243,                 1.2087,               0.008515,               0.008515,               0.008515
                     18,                 1.8847,                 1.0115,                 1.2128,                0.88068,                0.85375,                0.91039,                0.41382,                 1.7946,                 1.4137,                 1.1987,               0.008416,               0.008416,               0.008416
                     19,                 1.8748,                0.97468,                 1.1855,                0.95312,                0.89552,                0.95134,                0.44428,                 1.7219,                0.94111,                 1.1727,               0.008317,               0.008317,               0.008317
                     20,                 2.0339,                 1.0009,                 1.2438,                 0.9334,                0.89179,                0.94868,                 0.4874,                 1.7177,                 1.2329,                 1.1827,               0.008218,               0.008218,               0.008218
                     21,                 1.9975,                0.99386,                 1.2155,                0.90228,                 0.8806,                0.94548,                0.43977,                 1.8299,                 1.1539,                 1.2199,               0.008119,               0.008119,               0.008119
                     22,                 1.8768,                0.93937,                 1.1914,                0.94507,                0.89878,                0.94303,                0.39798,                 1.9029,                 1.3001,                  1.235,                0.00802,                0.00802,                0.00802
                     23,                 1.9036,                0.96024,                 1.2016,                 0.8962,                0.90299,                0.94891,                0.44597,                 1.7846,                 2.2017,                 1.2287,               0.007921,               0.007921,               0.007921
                     24,                 2.0332,                0.98327,                 1.2125,                0.91977,                0.89829,                0.96334,                0.44199,                 1.7838,                0.90052,                 1.2267,               0.007822,               0.007822,               0.007822
                     25,                 1.9207,                0.96361,                 1.2107,                0.88172,                0.86194,                0.92682,                0.47707,                  1.797,                0.99636,                 1.1979,               0.007723,               0.007723,               0.007723
                     26,                 1.8485,                0.92744,                 1.1942,                0.91702,                0.92537,                0.95454,                0.40433,                 1.8302,                 1.1821,                 1.2272,               0.007624,               0.007624,               0.007624
                     27,                 1.9196,                0.92826,                 1.2008,                0.95748,                0.92423,                0.96939,                0.50544,                 1.7367,                0.89989,                 1.1684,               0.007525,               0.007525,               0.007525
                     28,                 1.7873,                0.87111,                 1.1753,                0.95626,                0.91045,                0.96103,                0.50847,                 1.6809,                0.88059,                 1.1591,               0.007426,               0.007426,               0.007426
                     29,                 1.8186,                 0.9512,                 1.1568,                 0.9314,                0.91196,                0.95621,                0.45011,                 1.6705,                0.92744,                 1.1757,               0.007327,               0.007327,               0.007327
                     30,                 1.8465,                 0.9458,                 1.1623,                0.95817,                0.94012,                0.96242,                0.45915,                 1.6872,                0.89356,                 1.1683,               0.007228,               0.007228,               0.007228
                     31,                 1.8391,                0.89324,                 1.1925,                0.88562,                0.83785,                0.86362,                0.32091,                 2.1258,                 1.4526,                 1.3354,               0.007129,               0.007129,               0.007129
                     32,                  1.935,                0.95876,                 1.1856,                0.97561,                0.93657,                0.97065,                0.45194,                 1.7584,                 1.2635,                 1.2156,                0.00703,                0.00703,                0.00703
                     33,                 1.8301,                0.91678,                  1.173,                0.96389,                0.94403,                0.95803,                0.47644,                 1.7047,                0.90775,                 1.1649,               0.006931,               0.006931,               0.006931
                     34,                  1.777,                0.92348,                 1.1468,                0.96127,                0.94403,                 0.9702,                0.50702,                 1.6607,                0.87037,                 1.1336,               0.006832,               0.006832,               0.006832
                     35,                 1.8197,                0.90136,                 1.1684,                0.94057,                0.94489,                0.95325,                 0.4023,                 1.8857,                0.98846,                 1.2139,               0.006733,               0.006733,               0.006733
                     36,                 1.8647,                 0.9322,                 1.1591,                0.97415,                0.95149,                0.97786,                0.49513,                 1.7043,                0.87183,                 1.1582,               0.006634,               0.006634,               0.006634
                     37,                 1.8423,                0.90057,                 1.1751,                  0.966,                0.95419,                0.96562,                0.46116,                 1.7739,                0.87161,                 1.1819,               0.006535,               0.006535,               0.006535
                     38,                 1.8853,                0.90997,                 1.1829,                0.95601,                0.93657,                0.95903,                0.44572,                 1.7991,                 0.9869,                 1.1789,               0.006436,               0.006436,               0.006436
                     39,                 1.7742,                0.90387,                 1.1499,                0.96175,                 0.9383,                0.96501,                0.49211,                 1.6563,                0.85952,                 1.1432,               0.006337,               0.006337,               0.006337
                     40,                 1.8524,                0.91513,                 1.1916,                0.97918,                0.92164,                0.97581,                0.46774,                 1.7232,                0.83502,                 1.1624,               0.006238,               0.006238,               0.006238
                     41,                 1.8494,                0.88648,                 1.1527,                0.93176,                0.94403,                 0.9582,                0.46687,                 1.6355,                 0.8761,                 1.1408,               0.006139,               0.006139,               0.006139
                     42,                  1.893,                0.92635,                  1.194,                0.95164,                0.94403,                0.97328,                0.49022,                 1.6905,                0.98781,                   1.16,                0.00604,                0.00604,                0.00604
                     43,                 1.7859,                0.84734,                 1.1926,                0.93668,                0.94776,                0.96573,                0.48409,                 1.7138,                0.89584,                  1.154,               0.005941,               0.005941,               0.005941
                     44,                 1.8218,                0.87087,                 1.1517,                0.95047,                0.96269,                0.97389,                0.48211,                  1.673,                0.84554,                 1.1303,               0.005842,               0.005842,               0.005842
                     45,                 1.7738,                0.81277,                 1.1437,                0.97008,                0.96786,                0.97672,                0.50728,                 1.6446,                0.79832,                 1.1296,               0.005743,               0.005743,               0.005743
                     46,                 1.7268,                0.82476,                 1.1067,                0.95458,                0.94101,                0.96897,                0.50535,                 1.6691,                0.83317,                 1.1398,               0.005644,               0.005644,               0.005644
                     47,                 1.7247,                0.80826,                 1.1259,                0.96679,                0.95896,                0.98228,                0.50629,                 1.6182,                 0.8205,                 1.1301,               0.005545,               0.005545,               0.005545
                     48,                 1.7672,                0.84271,                 1.1636,                0.95484,                0.95149,                0.96377,                0.41084,                 1.8851,                0.88347,                 1.2363,               0.005446,               0.005446,               0.005446
                     49,                 1.7524,                0.85515,                 1.1423,                0.96776,                0.94776,                0.97131,                0.48904,                 1.7495,                0.86019,                 1.1604,               0.005347,               0.005347,               0.005347
                     50,                 1.7945,                0.81713,                 1.1378,                0.95909,                0.96237,                0.98079,                0.48706,                 1.6907,                0.81605,                 1.1493,               0.005248,               0.005248,               0.005248
                     51,                 1.7328,                0.82136,                 1.1399,                0.96011,                 0.9403,                0.96827,                0.50181,                 1.6495,                0.83294,                 1.1433,               0.005149,               0.005149,               0.005149
                     52,                  1.667,                0.79834,                 1.1001,                0.97665,                0.98507,                 0.9918,                0.53278,                 1.6081,                0.77031,                 1.1304,                0.00505,                0.00505,                0.00505
                     53,                 1.6852,                 0.8056,                 1.1175,                0.93722,                0.94776,                0.97893,                0.53789,                 1.5589,                0.81988,                 1.1001,               0.004951,               0.004951,               0.004951
                     54,                 1.6095,                0.79321,                 1.0879,                0.95741,                0.95522,                 0.9715,                0.50218,                 1.6621,                0.77258,                 1.1434,               0.004852,               0.004852,               0.004852
                     55,                 1.6303,                0.81979,                 1.0739,                0.96269,                0.96267,                0.97566,                0.48185,                 1.6647,                0.81343,                 1.1211,               0.004753,               0.004753,               0.004753
                     56,                  1.681,                0.80497,                 1.1357,                0.96995,                0.96349,                0.97724,                0.51923,                 1.6099,                0.76879,                 1.1224,               0.004654,               0.004654,               0.004654
                     57,                 1.6332,                0.79015,                 1.1176,                0.98102,                0.97015,                0.98996,                0.54659,                 1.5495,                0.74667,                 1.1069,               0.004555,               0.004555,               0.004555
                     58,                 1.6945,                0.80337,                  1.129,                0.96298,                0.95896,                0.97886,                0.52094,                 1.6268,                0.79061,                 1.1213,               0.004456,               0.004456,               0.004456
                     59,                 1.6737,                0.81778,                 1.1138,                0.96813,                0.90687,                0.97059,                0.44668,                 1.8318,                0.90808,                 1.2091,               0.004357,               0.004357,               0.004357
                     60,                 1.7373,                0.83509,                 1.1296,                0.97002,                0.96599,                0.96965,                 0.4652,                 1.6642,                0.78934,                 1.1413,               0.004258,               0.004258,               0.004258
